position,status,name,model,operator,launch_place,launch_data
55 E,active,GSAT 16,I-3K (I-3000) Bus,NewSpace India Ltd (NSIL),3182,6-Dec-2014
55 E,active,GSAT 29,I-3K (I-3000) Bus,Indian National Satellite (INSAT),3423,14-Nov-2018
55 E,retired,Insat 3E,Insat-2/-3 Bus,Indian National Satellite (INSAT),2775,27-Sep-2003
55 E,active,GSAT 8 (Insat 4G),I-3K (I-3000) Bus,NewSpace India Ltd (NSIL),3093,19-May-2011
55 E,active,Yamal 402 (Yamal 400 KA-2),Spacebus-4000C3,Gazprom Space Systems,4463,8-Dec-2012
56 E,active,Express AT1,Express-1000,Russian Satellite Communications Company,1726,16-Mar-2014
56 E,active,"Inmarsat GX4 (Inmarsat 5F4, I5F4, GX4)",BSS-702HP,Inmarsat plc,6086,15-May-2017
56 E,deorbited,Bonum 1,HS-376HP,Russian Satellite Communications Company,1452,22-Nov-1998
56 E,deorbited,Directv 1R (DBS 4),HS-601HP,"DirecTV, Inc.",3420,10-Oct-1999
57 E,retired,Astra 2A,BSS-601HP,SES S.A.,3635,30-Aug-1998
57 E,active,NSS 12,LS-1300,SES S.A.,5622,29-Oct-2009
58 E,active,Kazsat 3,Express-1000,JSC KazSat,1800,28-Apr-2014
59 E,retired,"Eutelsat 59A (E59A, Eutelsat 36 West A, E36WA, Eutelsat 12 West A, E12WA, Atlantic Bird 1, AB1)",GeoBus (Italsat-Bus),Eutelsat Communications S.A.,2700,28-Aug-2002
60 E,failed,Intelsat 33e,BSS-702MP,Intelsat,6100,24-Aug-2016
60 E,active,Ovzon-3,SSL-500,Ovzon AB,1800,3-Jan-2024
61 E,active,"ABS-4 (ABS 2i, Mobisat-1, MBSAT 1)",LS-1300,ABS,4143,13-Mar-2004
62 E,active,Intelsat 39 (IS-39),LS-1300,Intelsat,6600,6-Aug-2019
63 E,active,H2Sat (Heinrich Hertz),SmallGEO (Luxor) bus,German Aerospace Center (DLR),3408,5-Jul-2024
63 E,active,"Inmarsat GX1 (Inmarsat 5F1, I5-IOR, GX1)",BSS-702HP,Inmarsat plc,6070,8-Dec-2013
64 E,retired,"Inmarsat-3F1 (Inmarsat 3 F1, I3F1, IOR)",AS-4000,Inmarsat plc,2068,2-Apr-1996
64 E,retired,"Intelsat 26 (Jcsat 4, Jcsat R, IS-26)",HS-601,Intelsat,3105,17-Feb-1997
64 E,retired,"Intelsat 12 (IS 12, PAS 12, Europe*Star 1)",LS-1300,Intelsat,4167,29-Oct-2000
64 E,active,Intelsat 906 (IS-906),LS-1300,Intelsat,4723,6-Sep-2002
65 E,active,Amos 4,Amos Bus,Spacecom Satellite Communications,4200,31-Aug-2013
66 E,active,Intelsat 17 (IS-17),LS-1300,Intelsat,5540,26-Nov-2010
66 E,active,"Luch (Loutch, Olymp)",Express-2000,Roscosmos (Russian Federal Space Agency),3358,27-Sep-2014
66 E,retired,"Intelsat 10 (IS 10, PAS 10)",HS-601HP,Intelsat,3739,14-May-2001
66 E,retired,"Intelsat 9 (IS 9, PAS 9, PAS-23)",HS-601HP,Intelsat,3659,28-Jul-2000
66 E,deorbited,"Intelsat 704 (IS-704, Intelsat 7-F4)",LS-1300,Intelsat,3653,10-Jan-1995
66 E,deorbited,"Galaxy 27 (G-27, Intelsat IA-7, Telstar 7)",LS-1300,Intelsat,3790,25-Sep-1999
67 E,disabled,"ABS-1A (Mugungwa 2, Koreasat 2)",AS-3000,ABS,1459,14-Jan-1996
68 E,testing,"GSat 20 (GSat N2, CMS 03)",I-4K (I-4000) Bus,Indian National Satellite (INSAT),4700,18-Nov-2024
69 E,active,Intelsat 36,LS-1300,Intelsat,3400,24-Aug-2016
69 E,active,Intelsat 20 (IS-20),LS-1300,Intelsat,6094,2-Aug-2012
70 E,active,"Eutelsat 70B (E70B, W5A, Eutelsat W5A)",Eurostar-3000,Eutelsat Communications S.A.,5250,3-Dec-2012
70 E,retired,"Eutelsat 70D (E70D, E33D, Eutelsat 8 West C, E8WC, Eutelsat Hot Bird 13A, HB13A, HB6, HotBird 6, Hot bird 6)",Spacebus-3000B3,Eutelsat Communications S.A.,3800,28-Aug-2002
71 E,moving,"G-Space 1 (GS 1, Nusantara H-1A)",TBD,PT Pasifik Satelite Nusantara (PSN),22,1-May-2023
72 E,active,Intelsat 22 (IS-22),BSS-702MP,Intelsat,6249,25-Mar-2012
72 E,failed,Intelsat 4 (IS 4),HS-601,Intelsat,2920,3-Aug-1995
74 E,retired,Edusat (GSat 3),I-2K (I-2000) Bus,Ministry of Education India,1951,20-Sep-2004
74 E,active,GSAT 18,I-3K (I-3000) Bus,NewSpace India Ltd (NSIL),3404,5-Oct-2016
74 E,active,"GSAT 7 (Insat 4F, Rukmini)",I-2K (I-2000) Bus,Indian National Satellite (INSAT),2650,29-Aug-2013
74 E,active,GSAT 11,I-6K (modular) Bus,Indian National Satellite (INSAT),5855,4-Dec-2018
74 E,active,GSAT 14,I-2K (I-2000) Bus,NewSpace India Ltd (NSIL),1982,5-Jan-2014
75 E,active,"ABS-2 (ST 3, Koreasat 8, Condosat 2)",LS-1300,ABS,6330,6-Feb-2014
75 E,active,ABS-2A (Mongolsat-1),BSS-702SP,ABS,1800,14-Jun-2016
75 E,deorbited,"ABS-1B (Eutelsat W75, Hot Bird 3, Eurobird 10, Eutelsat 2-F9, Eurobird 4, W76)",Eurostar-2000+,ABS,2900,2-Sep-1997
76 E,active,APSTAR 7,Spacebus-4000C2,APT Satellite Holdings Ltd.,5054,31-Mar-2012
77 E,retired,"APSTAR 2R (Telstar 10, APSTAR IIR)",LS-1300,Telesat Canada Ltd.,3750,17-Oct-1997
79 E,retired,Thaicom 5 (Agrani 2),Spacebus-3000A,Thaicom Plc.,2766,27-May-2006
79 E,active,Thaicom 6 (Africom 1),GEOStar-2,Thaicom Plc.,3016,6-Jan-2014
79 E,active,Thaicom 8,GEOStar-2,Thaicom Plc.,3100,27-May-2016
80 E,active,Express 80,Express-1000,Russian Satellite Communications Company,1947,31-Jul-2020
80 E,failed,Telkom 1,A2100A,PT Telekomunikasi Indonesia Tbk,2763,12-Aug-1999
80 E,deorbited,"Express AM22 (Sesat 2, Ekspress AM22)",MSS-2500-GSO,Russian Satellite Communications Company,2600,28-Dec-2003
80 E,retired,Express AM2 (Ekspress AM2),MSS-2500-GSO,Russian Satellite Communications Company,2542,29-Mar-2005
80 E,failed,Express MD1 (Ekspress MD-1),Yakhta,Russian Satellite Communications Company,1140,11-Feb-2009
80 E,failed,"Express AM4R (Ekspress AM4R, EAM4R)",Eurostar-3000,Russian Satellite Communications Company,5775,16-May-2014
80 E,failed,"Express AM4 (Ekspress AM4, EAM4)",Eurostar-3000,Russian Satellite Communications Company,5775,17-Aug-2011
82 E,active,Tiantong 1 03 (Tiantong-1 03),DFH-4 Bus,China Telecom,5400,19-Jan-2021
83 E,failed,GSAT 6A,I-2K (I-2000) Bus,Indian National Satellite (INSAT),2117,29-Mar-2018
83 E,active,GSAT 30,I-3K (I-3000) Bus,Indian National Satellite (INSAT),3357,16-Jan-2020
83 E,active,GSat 12R (CMS 01),I-1K (I-1000),Indian National Satellite (INSAT),1425,17-Dec-2020
83 E,active,GSAT 24 (CMS 02),I-3K (I-3000) Bus,Indian National Satellite (INSAT),4181,22-Jun-2022
83 E,active,GSAT 10,I-3K (I-3000) Bus,NewSpace India Ltd (NSIL),3400,28-Sep-2012
83 E,failed,GSAT 5P (Insat 4D),I-2K (I-2000) Bus,Indian National Satellite (INSAT),2330,25-Dec-2010
83 E,active,GSAT 6 (Insat 4E),I-2K (I-2000) Bus,Indian National Satellite (INSAT),2117,27-Aug-2015
83 E,deorbited,Insat 2E (Intelsat APR-2),Insat-2/-3 Bus,Indian National Satellite (INSAT),2550,3-Apr-1999
83 E,deorbited,Insat 4A,I-3K (I-3000) Bus,NewSpace India Ltd (NSIL),3081,21-Dec-2005
83 E,retired,Insat 3B,Insat-2/-3 Bus,Indian National Satellite (INSAT),2070,21-Mar-2000
84 E,deorbited,JCSat 8 (JCSat 2A),HS-601,SKY Perfect JSAT Corporation,2600,29-Mar-2002
84 E,active,"Inmarsat-6 F1 (Inmarsat GX 6A, I6-F1, GX6A)",Eurostar-3000EOR,Inmarsat plc,5470,21-Dec-2021
85 E,retired,Insat 4B,I-3K (I-3000) Bus,Indian National Satellite (INSAT),3025,11-Mar-2007
85 E,active,"Intelsat 15 (IS-15, JCSat 85)",GEOStar-2,Intelsat,2484,30-Nov-2009
86 E,active,Kazsat 2,Yakhta,JSC KazSat,1272,15-Jul-2011
88 E,active,ST 2,DS2000,Singapore Telecommunications Ltd. (SingTel)/Chunghwa Telecom Co. Ltd.,5090,20-May-2011
88 E,active,"Chinasat 12 (ZX-15A, Chinasat 15A, ZX-12, Apstar 7B, SupremeSat 1)",Spacebus-4000C2,China Satellite Communications Co. Ltd.(China Satcom),5054,27-Nov-2012
90 E,active,Yamal 401 (Yamal 400 KA-1),Express-2000,Gazprom Space Systems,3270,16-Dec-2014
90 E,retired,Yamal 101 (Yamal 100 KA-1),USP Bus,Gazprom Space Systems,1360,6-Sep-1999
90 E,failed,Yamal 201 (Yamal 200 KA-1),USP Bus,Gazprom Space Systems,1360,24-Nov-2003
91 E,deorbited,"Measat 3 (Measat 3, Malaysia East Asia Sat 3)",BSS-601HP,MEASAT Satellite Systems Sdn. Bhd.,4765,11-Dec-2006
91 E,active,Measat 3D,Eurostar-3000,MEASAT Satellite Systems Sdn. Bhd.,5648,22-Jun-2022
91 E,active,Measat 3B (Jabiru 2),Eurostar-3000,MEASAT Satellite Systems Sdn. Bhd.,5897,11-Sep-2014
91 E,disabled,Jabiru 1 (Measat 3C),A2100A,NewSat Ltd,5900,30-Jun-2016
92 E,active,"ChinaSat 9 (Zhongxing-9, ZX-9)",Spacebus-4000C2,China Satellite Communications Co. Ltd.(China Satcom),4500,9-Jun-2008
92 E,active,"ChinaSat 9C (Zhongxing-9C, ZX-9C)",DFH-4E Bus,China Satellite Communications Co. Ltd.(China Satcom),5500,20-Jun-2025
93 E,active,GSAT 15,I-3K (I-3000) Bus,NewSpace India Ltd (NSIL),3164,10-Nov-2015
93 E,active,GSAT 17,I-3K (I-3000) Bus,NewSpace India Ltd (NSIL),3477,28-Jul-2017
93 E,retired,Insat 3A,Insat-2/-3 Bus,Indian National Satellite (INSAT),2950,9-Apr-2003
93 E,retired,Insat 3C,Insat-2/-3 Bus,Indian National Satellite (INSAT),2650,23-Jan-2002
95 E,active,SES 8,GEOStar-2,SES S.A.,3138,3-Dec-2013
95 E,active,"Luch 5V (Loutch-5V, Луч-5В)",Express-1000A,Roscosmos (Russian Federal Space Agency),1148,28-Apr-2014
95 E,active,Skynet 5A,Eurostar-3000S,Paradigm Secure Communications Ltd (EADS Company),4700,11-Mar-2007
95 E,active,SES 12,Eurostar-3000EOR,SES S.A.,5300,4-Jun-2018
96 E,active,Express 103,Express-1000,Russian Satellite Communications Company,2280,31-Jul-2020
97 E,active,GSAT 9 (South Asia Satellite),I-2K (I-2000) Bus,Indian National Satellite (INSAT),2195,5-May-2017
98 E,active,Thuraya 3,BSS-702,Thuraya Telecommunications Co.,5250,15-Jan-2008
98 E,active,Chinasat 11,DFH-4 Bus,China Satellite Communications Co. Ltd.(China Satcom),5100,1-May-2013
101 E,active,AsiaSat 5,LS-1300SX,Asia Satellite Telecommunications Co. Ltd.,3760,31-Jul-2009
101 E,retired,"ChinaSat 9A (Zhongxing 9A, ZX 9A, Sinosat 4, Xinnuo 4)",DFH-4 Bus,China Satellite Communications Co. Ltd.(China Satcom),5100,18-Jun-2017
101 E,active,"ChinaSat 9B (Zhongxing 9B, ZX 9B)",DFH-4E Bus,China Satellite Communications Co. Ltd.(China Satcom),5500,9-Sep-2021
101 E,active,Tiantong 1 01 (Tiantong-1 01),DFH-4 Bus,China Telecom,5400,5-Aug-2016
103 E,active,Express AMU3,Express-1000,Russian Satellite Communications Company,2150,13-Dec-2021
103 E,deorbited,Kazsat 1,Yakhta,JSC KazSat,1092,17-Jun-2006
103 E,retired,Express A2 (Ekspress 6A),MSS-2500-GSO,Russian Satellite Communications Company,2500,12-Mar-2000
103 E,retired,Express AM3 (Ekspress AM3),MSS-2500-GSO,Russian Satellite Communications Company,2600,24-Jun-2005
105 E,disabled,SilkWave 1 (NYBBSat 1),BSS-702MP,CMMB Vision Holdings Limited,6000,31-Dec-2023
105 E,active,Asiastar 1 (Asiastar),Eurostar-2000+,CMMB Vision Holdings Limited,2775,21-Mar-2000
105 E,active,Asiasat 7 (AsiaSat 5C),LS-1300,Asia Satellite Telecommunications Co. Ltd.,3760,25-Nov-2011
